,subjects,linkedGenes
1375,"('ZNED4XZ_Crossover', 'ZUC2YGO_Prediabetic')","['MONOAB+clinical', 'ACAN+RNAseq', 'CCAT1+RNAseq', 'CCDC120+RNAseq', 'CCDC18+RNAseq', 'CHRNB1+RNAseq', 'CHRNB2+RNAseq', 'CNGA1+RNAseq', 'IL10RB-AS1+RNAseq', 'LINC00176+RNAseq', 'MCOLN3+RNAseq', 'NUP188+RNAseq', 'OPA1+RNAseq', 'PAPPA+RNAseq', 'PDZD2+RNAseq', 'PEX5L+RNAseq', 'PPP1R15B+RNAseq', 'PRRT3+RNAseq', 'RNF32+RNAseq', 'SMC4+RNAseq', 'SNRNP35+RNAseq', 'SYNGAP1+RNAseq', 'TMEM209+RNAseq', 'ZNF433+RNAseq']"
1376,"('ZNED4XZ_Crossover', 'ZUF48YS_Prediabetic')","['PLT+clinical', 'AATK+RNAseq', 'ABCC3+RNAseq', 'ACSS1+RNAseq', 'ADRA2A+RNAseq', 'ANGPTL2+RNAseq', 'ANKRD20A12P+RNAseq', 'AP5B1+RNAseq', 'ARNTL2+RNAseq', 'BCDIN3D-AS1+RNAseq', 'BCS1L+RNAseq', 'BMF+RNAseq', 'BYSL+RNAseq', 'C19orf12+RNAseq', 'C1orf192+RNAseq', 'C21orf91+RNAseq', 'C7orf43+RNAseq', 'C7orf57+RNAseq', 'CACNA1F+RNAseq', 'CACNA2D2+RNAseq', 'CALB1+RNAseq', 'CAMK1+RNAseq', 'CAMKK2+RNAseq', 'CCDC22+RNAseq', 'CDK10+RNAseq', 'CDK19+RNAseq', 'CDR2+RNAseq', 'CHRNA2+RNAseq', 'CKMT2+RNAseq', 'CLCN3+RNAseq', 'CNRIP1+RNAseq', 'CNTN2+RNAseq', 'CNTNAP1+RNAseq', 'COL2A1+RNAseq', 'CPLX2+RNAseq', 'CTSH+RNAseq', 'CTU2+RNAseq', 'CXCR5+RNAseq', 'CYFIP1+RNAseq', 'CYP3A4+RNAseq', 'DAK+RNAseq', 'DBF4+RNAseq', 'DBIL5P+RNAseq', 'DCAF11+RNAseq', 'DCTN1-AS1+RNAseq', 'DDX51+RNAseq', 'DEPDC5+RNAseq', 'DERL1+RNAseq', 'DISP2+RNAseq', 'DKFZP434H168+RNAseq', 'DNAJC13+RNAseq', 'DNAL1+RNAseq', 'ECD+RNAseq', 'EEF1G+RNAseq', 'EGR2+RNAseq', 'EML4+RNAseq', 'ENDOU+RNAseq', 'ESYT1+RNAseq', 'FAM13B+RNAseq', 'FAM84B+RNAseq', 'FAM86DP+RNAseq', 'FBL+RNAseq', 'FBXO24+RNAseq', 'FBXO6+RNAseq', 'FBXW8+RNAseq', 'FHAD1+RNAseq', 'FIGNL2+RNAseq', 'FLJ27354+RNAseq', 'FLJ44313+RNAseq', 'FLJ44511+RNAseq', 'FOXM1+RNAseq', 'GDAP1L1+RNAseq', 'GDPD2+RNAseq', 'GLUL+RNAseq', 'GNE+RNAseq', 'GNPDA1+RNAseq', 'GPR150+RNAseq', 'GPSM1+RNAseq', 'H2AFY2+RNAseq', 'HADHA+RNAseq', 'HEATR2+RNAseq', 'HOXA3+RNAseq', 'HSF2+RNAseq', 'ICMT+RNAseq', 'IFNW1+RNAseq', 'IKZF1+RNAseq', 'ITIH2+RNAseq', 'JPH3+RNAseq', 'KBTBD12+RNAseq', 'KCNS1+RNAseq', 'KIAA0430+RNAseq', 'KIAA0895L+RNAseq', 'KIAA1522+RNAseq', 'KIAA1614+RNAseq', 'LILRB3+RNAseq', 'LINC00092+RNAseq', 'LINC00954+RNAseq', 'LOC100129148+RNAseq', 'LOC100506178+RNAseq', 'LOC101929549+RNAseq', 'LOC729930+RNAseq', 'LRPAP1+RNAseq', 'MCM7+RNAseq', 'MDH1+RNAseq', 'MLF2+RNAseq', 'MRVI1+RNAseq', 'MTRNR2L3+RNAseq', 'MXRA7+RNAseq', 'NCL+RNAseq', 'NCR3+RNAseq', 'NEK8+RNAseq', 'NEXN+RNAseq', 'NFAT5+RNAseq', 'NFYB+RNAseq', 'NME6+RNAseq', 'NR1D1+RNAseq', 'NSMCE4A+RNAseq', 'NSUN4+RNAseq', 'NT5E+RNAseq', 'NUSAP1+RNAseq', 'NYNRIN+RNAseq', 'ORM1+RNAseq', 'PALLD+RNAseq', 'PAQR7+RNAseq', 'PDE6A+RNAseq', 'PFN1+RNAseq', 'PGAM1+RNAseq', 'PGLYRP1+RNAseq', 'PHF19+RNAseq', 'PPM1F+RNAseq', 'PPT2+RNAseq', 'PRKD2+RNAseq', 'PRRC1+RNAseq', 'PTPRS+RNAseq', 'PWP2+RNAseq', 'PWWP2B+RNAseq', 'RAB14+RNAseq', 'RAB36+RNAseq', 'RBKS+RNAseq', 'RBL1+RNAseq', 'RBM47+RNAseq', 'RECQL+RNAseq', 'RPS23+RNAseq', 'RRAS+RNAseq', 'RREB1+RNAseq', 'RXFP4+RNAseq', 'SEC24D+RNAseq', 'SELO+RNAseq', 'SELPLG+RNAseq', 'SETMAR+RNAseq', 'SEZ6+RNAseq', 'SHMT1+RNAseq', 'SKIV2L2+RNAseq', 'SLC16A2+RNAseq', 'SLC26A9+RNAseq', 'SLC39A13+RNAseq', 'SLC39A4+RNAseq', 'SLC8B1+RNAseq', 'SMLR1+RNAseq', 'SNX30+RNAseq', 'SOX12+RNAseq', 'SP3+RNAseq', 'SPAG17+RNAseq', 'SPATC1+RNAseq', 'SRPK3+RNAseq', 'SRRD+RNAseq', 'ST3GAL6-AS1+RNAseq', 'SULT1A2+RNAseq', 'SURF1+RNAseq', 'TATDN1+RNAseq', 'TBC1D4+RNAseq', 'TCP11L2+RNAseq', 'TDRP+RNAseq', 'TGOLN2+RNAseq', 'TK2+RNAseq', 'TM9SF1+RNAseq', 'TOM1L2+RNAseq', 'TOPORS+RNAseq', 'TRIM5+RNAseq', 'TRIM52-AS1+RNAseq', 'TRMT10B+RNAseq', 'TTC31+RNAseq', 'TUBB6+RNAseq', 'TXLNA+RNAseq', 'UGDH-AS1+RNAseq', 'UHRF1+RNAseq', 'USO1+RNAseq', 'UTP14A+RNAseq', 'WDR90+RNAseq', 'ZBTB48+RNAseq', 'ZNF41+RNAseq', 'ZNF517+RNAseq', 'ZNF784+RNAseq']"
1377,"('ZNED4XZ_Crossover', 'ZUG7QHE_Prediabetic')","['ADAMTS17+RNAseq', 'ADD3+RNAseq', 'ADD3-AS1+RNAseq', 'AEBP2+RNAseq', 'AGPAT1+RNAseq', 'ANKRD11+RNAseq', 'ANXA2R+RNAseq', 'ARHGAP4+RNAseq', 'ASB2+RNAseq', 'ATF7IP+RNAseq', 'ATP8A1+RNAseq', 'B3GALNT2+RNAseq', 'B3GNTL1+RNAseq', 'B4GALT3+RNAseq', 'BAG5+RNAseq', 'BAZ2B+RNAseq', 'BSG+RNAseq', 'C17orf59+RNAseq', 'C1orf213+RNAseq', 'C1orf85+RNAseq', 'C2orf44+RNAseq', 'CAMTA2+RNAseq', 'CASC14+RNAseq', 'CCDC115+RNAseq', 'CCDC47+RNAseq', 'CCR10+RNAseq', 'CDCP1+RNAseq', 'CDK10+RNAseq', 'CHCHD2+RNAseq', 'CLEC2D+RNAseq', 'CLIP3+RNAseq', 'CLK1+RNAseq', 'CNOT3+RNAseq', 'CPNE2+RNAseq', 'CREBRF+RNAseq', 'CTCF+RNAseq', 'CYP11B1+RNAseq', 'DCAF17+RNAseq', 'DDX17+RNAseq', 'DNAH6+RNAseq', 'DST+RNAseq', 'EIF2AK2+RNAseq', 'FBXL19-AS1+RNAseq', 'FTL+RNAseq', 'FUT7+RNAseq', 'GABARAPL2+RNAseq', 'GAS6-AS1+RNAseq', 'GLG1+RNAseq', 'GLUL+RNAseq', 'GNAT2+RNAseq', 'GPR182+RNAseq', 'HDGF+RNAseq', 'HEBP2+RNAseq', 'HPR+RNAseq', 'HSP90AA1+RNAseq', 'IGSF9+RNAseq', 'JUN+RNAseq', 'KCNAB3+RNAseq', 'LIMD1+RNAseq', 'LINC00035+RNAseq', 'LINC00963+RNAseq', 'LINC01271+RNAseq', 'LOC100132891+RNAseq', 'LOC100289019+RNAseq', 'LOC100507283+RNAseq', 'LOC100996251+RNAseq', 'LOC101927211+RNAseq', 'LOC101929608+RNAseq', 'LOC102467073+RNAseq', 'LOC646626+RNAseq', 'LONRF1+RNAseq', 'MACF1+RNAseq', 'MATN1+RNAseq', 'MCM9+RNAseq', 'MEN1+RNAseq', 'MIR302B+RNAseq', 'MYL5+RNAseq', 'MYLPF+RNAseq', 'NAPEPLD+RNAseq', 'NDUFAF2+RNAseq', 'NEK8+RNAseq', 'NEURL2+RNAseq', 'NHSL1+RNAseq', 'NOA1+RNAseq', 'NOL7+RNAseq', 'OR5K2+RNAseq', 'ORM1+RNAseq', 'OSBPL3+RNAseq', 'PDE4B+RNAseq', 'PDZD8+RNAseq', 'PMAIP1+RNAseq', 'PPIA+RNAseq', 'PPP2R2D+RNAseq', 'PRELID1+RNAseq', 'PRRT3-AS1+RNAseq', 'PRX+RNAseq', 'PTGR1+RNAseq', 'RANBP2+RNAseq', 'RCAN3+RNAseq', 'RHBDD1+RNAseq', 'RNF166+RNAseq', 'RTN4IP1+RNAseq', 'RYR1+RNAseq', 'SAMD12+RNAseq', 'SARS+RNAseq', 'SDPR+RNAseq', 'SH2D3C+RNAseq', 'SKIV2L2+RNAseq', 'SLAMF1+RNAseq', 'SLAMF7+RNAseq', 'SLC25A19+RNAseq', 'SLC35F1+RNAseq', 'ST6GAL1+RNAseq', 'TAF1C+RNAseq', 'TBC1D8+RNAseq', 'TCF3+RNAseq', 'THEM4+RNAseq', 'TIMM22+RNAseq', 'TMEM209+RNAseq', 'TMEM243+RNAseq', 'TOB1+RNAseq', 'TOR1B+RNAseq', 'TREML1+RNAseq', 'TRIM27+RNAseq', 'TRMT112+RNAseq', 'TRPM2-AS+RNAseq', 'TUBA8+RNAseq', 'UBE3C+RNAseq', 'UBL4A+RNAseq', 'UBL7-AS1+RNAseq', 'UPK1B+RNAseq', 'VPS26A+RNAseq', 'VPS37A+RNAseq', 'VTI1B+RNAseq', 'WHAMM+RNAseq', 'ZBTB14+RNAseq', 'ZGPAT+RNAseq', 'ZNF644+RNAseq']"
1378,"('ZNED4XZ_Crossover', 'ZUL3S6O_Prediabetic')","['FASL+cytokine', 'IL6+cytokine', 'IL13+cytokine', 'HGF+cytokine', 'TGFB+cytokine', 'TNFB+cytokine', 'ICAM1+cytokine', 'PAI1+cytokine', 'genus_Lachnospiracea_incertae_sedis+gut', 'order_Enterobacteriales+nares', 'family_Enterobacteriaceae+nares', 'ACAA2+RNAseq', 'ALCAM+RNAseq', 'ALK+RNAseq', 'APH1A+RNAseq', 'APLP1+RNAseq', 'APOL3+RNAseq', 'AQP3+RNAseq', 'ASXL3+RNAseq', 'BDH2+RNAseq', 'C1orf95+RNAseq', 'C9orf89+RNAseq', 'CAMTA2+RNAseq', 'CCND2+RNAseq', 'CDHR2+RNAseq', 'CERS5+RNAseq', 'CRHR2+RNAseq', 'DCTN1+RNAseq', 'DDX31+RNAseq', 'DNAJC27+RNAseq', 'DNAL1+RNAseq', 'DOCK8+RNAseq', 'DOK2+RNAseq', 'DTHD1+RNAseq', 'ELMSAN1+RNAseq', 'ENAM+RNAseq', 'EPN3+RNAseq', 'FAM131A+RNAseq', 'FAM213B+RNAseq', 'FAM46C+RNAseq', 'FAM65A+RNAseq', 'FBXL17+RNAseq', 'FKBP4+RNAseq', 'FLJ26850+RNAseq', 'GATA1+RNAseq', 'GLIPR2+RNAseq', 'GNAT2+RNAseq', 'GNE+RNAseq', 'GOLGA5+RNAseq', 'GPBP1+RNAseq', 'GPR82+RNAseq', 'HABP4+RNAseq', 'HTT-AS+RNAseq', 'INPP5D+RNAseq', 'ITFG3+RNAseq', 'KLHDC8A+RNAseq', 'KLHL20+RNAseq', 'KRT18+RNAseq', 'KRTAP16-1+RNAseq', 'LAS1L+RNAseq', 'LEF1+RNAseq', 'LFNG+RNAseq', 'LHFPL4+RNAseq', 'LIN28A+RNAseq', 'LOC101927817+RNAseq', 'LOC200772+RNAseq', 'LOC284023+RNAseq', 'LTB4R+RNAseq', 'MANEAL+RNAseq', 'MATN1+RNAseq', 'MED15+RNAseq', 'MEFV+RNAseq', 'MLLT6+RNAseq', 'MNT+RNAseq', 'MUC6+RNAseq', 'MYL12A+RNAseq', 'MYNN+RNAseq', 'MYO15A+RNAseq', 'NAALADL1+RNAseq', 'NFAT5+RNAseq', 'NOM1+RNAseq', 'NOX1+RNAseq', 'NR3C1+RNAseq', 'OR5C1+RNAseq', 'PARP6+RNAseq', 'PCSK7+RNAseq', 'PDE8A+RNAseq', 'PER3+RNAseq', 'PIK3R3+RNAseq', 'PLEKHB2+RNAseq', 'POR+RNAseq', 'PPP1R13B+RNAseq', 'PRB1+RNAseq', 'PRTFDC1+RNAseq', 'PTPN11+RNAseq', 'RAB18+RNAseq', 'RANBP6+RNAseq', 'RARA+RNAseq', 'SAP30L+RNAseq', 'SCN4A+RNAseq', 'SMARCAD1+RNAseq', 'SNORA65+RNAseq', 'SNRPD1+RNAseq', 'SPATS2L+RNAseq', 'ST3GAL6+RNAseq', 'STARD7+RNAseq', 'TARS+RNAseq', 'TBC1D15+RNAseq', 'THSD7A+RNAseq', 'TMED9+RNAseq', 'TMEM120A+RNAseq', 'TP53I11+RNAseq', 'TRIM14+RNAseq', 'TRRAP+RNAseq', 'TTC28+RNAseq', 'TTC3+RNAseq', 'TTLL13+RNAseq', 'TUBB4B+RNAseq', 'UBE2Q2+RNAseq', 'UBE2R2+RNAseq', 'WNT3+RNAseq', 'ZNF385C+RNAseq', 'ZSWIM4+RNAseq']"
1379,"('ZNED4XZ_Crossover', 'ZUPAQVU_Prediabetic')","['LEPTIN+cytokine', 'order_Neisseriales+nares', 'family_Neisseriaceae+nares', 'ARAP2+RNAseq', 'B9D1+RNAseq', 'C11orf83+RNAseq', 'CTBS+RNAseq', 'DLEU2+RNAseq', 'EEF1D+RNAseq', 'FAM162A+RNAseq', 'FDFT1+RNAseq', 'FUCA2+RNAseq', 'LOC100128531+RNAseq', 'LOC100507283+RNAseq', 'LOC286083+RNAseq', 'LOXL2+RNAseq', 'LYSMD1+RNAseq', 'MIR1260B+RNAseq', 'MYC+RNAseq', 'NOL7+RNAseq', 'OPA1+RNAseq', 'PODXL2+RNAseq', 'PSMD3+RNAseq', 'PTBP3+RNAseq', 'RBMS2+RNAseq', 'SDPR+RNAseq', 'SELPLG+RNAseq', 'SLC23A1+RNAseq', 'SNORA57+RNAseq', 'SNORA66+RNAseq', 'SQLE+RNAseq', 'TDRP+RNAseq', 'TFAM+RNAseq', 'THTPA+RNAseq', 'UBC+RNAseq']"
1380,"('ZNED4XZ_Crossover', 'ZV14SIB_Crossover')","['HCT+clinical', 'RBC+clinical', 'IP10+cytokine', 'LEPTIN+cytokine', 'class_Erysipelotrichia+gut', 'order_Erysipelotrichales+gut', 'family_Erysipelotrichaceae+gut', 'genus_Parabacteroides+gut', 'phylum_Actinobacteria+nares', 'class_Actinobacteria+nares', 'class_Chloroplast+nares', 'order_Actinomycetales+nares', 'order_Pseudomonadales+nares', 'order_Rhizobiales+nares', 'order_unclassified_Chloroplast+nares', 'family_Bacillaceae.1+nares', 'family_Chloroplast+nares', 'genus_Streptococcus+nares', 'AGAP7+RNAseq', 'ATG14+RNAseq', 'BYSL+RNAseq', 'C14orf164+RNAseq', 'CALCOCO2+RNAseq', 'CEP85+RNAseq', 'CNGB3+RNAseq', 'CTSH+RNAseq', 'EIF3K+RNAseq', 'GLIPR2+RNAseq', 'GTF3C6+RNAseq', 'LCTL+RNAseq', 'LOC101927497+RNAseq', 'LOC101928909+RNAseq', 'MCAM+RNAseq', 'NAIP+RNAseq', 'NSUN4+RNAseq', 'PAPLN+RNAseq', 'PCGF3+RNAseq', 'PODNL1+RNAseq', 'RPL23A+RNAseq', 'RPP38+RNAseq', 'SENP8+RNAseq', 'SLC46A3+RNAseq', 'SLC6A4+RNAseq', 'SLIRP+RNAseq', 'SMG7-AS1+RNAseq', 'TGFBR2+RNAseq', 'THEM5+RNAseq', 'TMED5+RNAseq']"
1381,"('ZNED4XZ_Crossover', 'ZVBQY1N_Prediabetic')","['ALKP+clinical', 'MONO+clinical', 'phylum_Actinobacteria+nares', 'class_Actinobacteria+nares', 'class_Negativicutes+nares', 'order_Actinomycetales+nares', 'order_Selenomonadales+nares', 'family_Corynebacteriaceae+nares', 'family_Veillonellaceae+nares', 'genus_Corynebacterium+nares', 'ACTR1A+RNAseq', 'AKAP8L+RNAseq', 'ANXA10+RNAseq', 'C16orf70+RNAseq', 'C1orf100+RNAseq', 'C2CD5+RNAseq', 'C8orf58+RNAseq', 'CDC25B+RNAseq', 'DAZAP1+RNAseq', 'DNASE1+RNAseq', 'EVL+RNAseq', 'F13A1+RNAseq', 'FAM159A+RNAseq', 'GARS+RNAseq', 'GPATCH11+RNAseq', 'GPR3+RNAseq', 'GPSM3+RNAseq', 'GPX1+RNAseq', 'GRN+RNAseq', 'HBG2+RNAseq', 'IFI30+RNAseq', 'IFIH1+RNAseq', 'LOC100128531+RNAseq', 'LOC101928068+RNAseq', 'LOC101929384+RNAseq', 'MCHR1+RNAseq', 'MDH2+RNAseq', 'NDUFB10+RNAseq', 'NEURL4+RNAseq', 'NOTCH4+RNAseq', 'RAPGEF1+RNAseq', 'RBM38+RNAseq', 'RHBDF1+RNAseq', 'RILP+RNAseq', 'RNASEH2B+RNAseq', 'RNF139-AS1+RNAseq', 'RPS6KA4+RNAseq', 'RRP12+RNAseq', 'SCARNA12+RNAseq', 'SURF1+RNAseq', 'TEDDM1+RNAseq', 'TMEM127+RNAseq', 'TMEM167B+RNAseq', 'TOB1+RNAseq', 'VRK2+RNAseq', 'YBX3+RNAseq', 'ZBTB10+RNAseq', 'ZNF565+RNAseq']"
1382,"('ZNED4XZ_Crossover', 'ZVC4YUG_Prediabetic')",[]
1383,"('ZNED4XZ_Crossover', 'ZVM4N7A_Prediabetic')","['IL23+cytokine', 'CD40L+cytokine', 'genus_Dorea+gut', 'ACOX2+RNAseq', 'ACSS2+RNAseq', 'ACTRT3+RNAseq', 'ADCY3+RNAseq', 'AEBP1+RNAseq', 'ANK2+RNAseq', 'AP4M1+RNAseq', 'ARVCF+RNAseq', 'BIK+RNAseq', 'C17orf47+RNAseq', 'C19orf67+RNAseq', 'C1orf85+RNAseq', 'C3orf18+RNAseq', 'C3orf52+RNAseq', 'C5+RNAseq', 'C9orf16+RNAseq', 'CASKIN2+RNAseq', 'CCND3+RNAseq', 'CD27+RNAseq', 'CELF2-AS2+RNAseq', 'CELSR1+RNAseq', 'CEP76+RNAseq', 'CHPF2+RNAseq', 'CIRBP-AS1+RNAseq', 'CLEC1B+RNAseq', 'CNNM2+RNAseq', 'CYP51A1+RNAseq', 'CYTH2+RNAseq', 'DDTL+RNAseq', 'DENND2D+RNAseq', 'DHX38+RNAseq', 'DNAH17-AS1+RNAseq', 'DNM3+RNAseq', 'DOK4+RNAseq', 'DPEP2+RNAseq', 'DYNLL2+RNAseq', 'EGFL7+RNAseq', 'EIF2B5+RNAseq', 'ERRFI1+RNAseq', 'ESYT3+RNAseq', 'EXOSC3+RNAseq', 'FAM83A+RNAseq', 'FAM98C+RNAseq', 'FBXL13+RNAseq', 'FBXO46+RNAseq', 'FES+RNAseq', 'FGFR1OP2+RNAseq', 'GCLM+RNAseq', 'GDPD5+RNAseq', 'GIT1+RNAseq', 'GJB4+RNAseq', 'GNAI2+RNAseq', 'GOLGA3+RNAseq', 'GRHL2+RNAseq', 'GTF2F1+RNAseq', 'GYPE+RNAseq', 'HDAC10+RNAseq', 'HDAC7+RNAseq', 'HIAT1+RNAseq', 'IFIT2+RNAseq', 'IGF1R+RNAseq', 'INSIG1+RNAseq', 'ITGAM+RNAseq', 'ITM2B+RNAseq', 'ITSN2+RNAseq', 'KCNC1+RNAseq', 'KCNH4+RNAseq', 'KCNIP2+RNAseq', 'KCNQ3+RNAseq', 'KCNS2+RNAseq', 'KLHL41+RNAseq', 'LIMD2+RNAseq', 'LINC00346+RNAseq', 'LINC00691+RNAseq', 'LINC01023+RNAseq', 'LMO3+RNAseq', 'LOC100129940+RNAseq', 'LOC101928243+RNAseq', 'LOC101929657+RNAseq', 'LOC389332+RNAseq', 'LOC440700+RNAseq', 'LY86+RNAseq', 'MAB21L1+RNAseq', 'MAPKAPK3+RNAseq', 'MAPRE3+RNAseq', 'MCCD1+RNAseq', 'MIR499A+RNAseq', 'MRPL38+RNAseq', 'MYBPC3+RNAseq', 'NDUFB2-AS1+RNAseq', 'NEFM+RNAseq', 'NFU1+RNAseq', 'NIPA2+RNAseq', 'NOL12+RNAseq', 'NPIPB5+RNAseq', 'NSUN5P1+RNAseq', 'NT5C1B+RNAseq', 'OTOF+RNAseq', 'P2RX5-TAX1BP3+RNAseq', 'PACSIN2+RNAseq', 'PAFAH1B1+RNAseq', 'PARP9+RNAseq', 'PAXBP1+RNAseq', 'PBX2+RNAseq', 'PCYT1B+RNAseq', 'PDIA3+RNAseq', 'PEF1+RNAseq', 'PFKP+RNAseq', 'PFN2+RNAseq', 'PHB2+RNAseq', 'PITPNM1+RNAseq', 'PLCB3+RNAseq', 'POLR2J4+RNAseq', 'PPP1R3B+RNAseq', 'PRICKLE3+RNAseq', 'PRR26+RNAseq', 'PRX+RNAseq', 'PSMB4+RNAseq', 'PTCH2+RNAseq', 'PTPN11+RNAseq', 'PWWP2A+RNAseq', 'RARA+RNAseq', 'RFFL+RNAseq', 'ROR1-AS1+RNAseq', 'RPL28+RNAseq', 'RPS2P32+RNAseq', 'RPTOR+RNAseq', 'RPUSD3+RNAseq', 'RTKN2+RNAseq', 'RYR1+RNAseq', 'S1PR4+RNAseq', 'SC5D+RNAseq', 'SCAND1+RNAseq', 'SEC24D+RNAseq', '4-Sep+RNAseq', 'SERINC3+RNAseq', 'SHISA9+RNAseq', 'SLC26A4-AS1+RNAseq', 'SLC35E1+RNAseq', 'SLC38A11+RNAseq', 'SLC5A9+RNAseq', 'SLC9A2+RNAseq', 'SNRPD3+RNAseq', 'SVILP1+RNAseq', 'TIMMDC1+RNAseq', 'TMEM206+RNAseq', 'TRAPPC4+RNAseq', 'TRIM17+RNAseq', 'TRIM67+RNAseq', 'TSEN54+RNAseq', 'TSR1+RNAseq', 'TSTD2+RNAseq', 'UNKL+RNAseq', 'USP14+RNAseq', 'USP54+RNAseq', 'VWA9+RNAseq', 'ZNF197+RNAseq']"
1384,"('ZNED4XZ_Crossover', 'ZVNCGHM_Crossover')","['IL12P70+cytokine', 'phylum_Firmicutes+gut', 'genus_Coprococcus+gut', 'ATXN7L2+RNAseq', 'CSMD1+RNAseq', 'LOC101241902+RNAseq', 'MYH9+RNAseq', 'NFKBIE+RNAseq', 'QPCTL+RNAseq', 'SLA2+RNAseq', 'SPINT1+RNAseq', 'ST7L+RNAseq', 'TACC3+RNAseq', 'TPRG1-AS2+RNAseq', 'VDAC2+RNAseq', 'ZRANB3+RNAseq']"
1385,"('ZNED4XZ_Crossover', 'ZW61YGW_Prediabetic')","['family_unclassified_Clostridiales+gut', 'genus_unclassified_Clostridiales+gut', 'APOBR+RNAseq', 'C21orf33+RNAseq', 'EIF4G2+RNAseq', 'FRMD8+RNAseq', 'FUT8-AS1+RNAseq', 'LOC642236+RNAseq', 'NSA2+RNAseq', 'PCCA+RNAseq', 'RXFP2+RNAseq', 'SERP1+RNAseq', 'SNAPIN+RNAseq', 'TSEN54+RNAseq', 'WDR1+RNAseq']"
1386,"('ZNED4XZ_Crossover', 'ZWCZHHY_Prediabetic')","['AG+clinical', 'genus_Faecalibacterium+gut', 'ARL6IP4+RNAseq', 'ATP5I+RNAseq', 'C4orf45+RNAseq', 'C6orf147+RNAseq', 'CD27+RNAseq', 'HEMK1+RNAseq', 'LINC01215+RNAseq', 'LOC100287098+RNAseq', 'MDH1+RNAseq', 'PRX+RNAseq', 'RCAN3+RNAseq', 'RPL23+RNAseq', 'RPL27+RNAseq', 'RPS20+RNAseq', 'RSU1+RNAseq', 'SAMD12+RNAseq', 'SENP3-EIF4A1+RNAseq', 'ZNF263+RNAseq']"
1387,"('ZNED4XZ_Crossover', 'ZWFDEY0_Prediabetic')","['IL1A+cytokine', 'B2M+RNAseq', 'BAIAP3+RNAseq', 'CASKIN1+RNAseq', 'EDF1+RNAseq', 'RSL1D1+RNAseq']"
1388,"('ZNED4XZ_Crossover', 'ZWHMV5E_Prediabetic')","['ACTN4+RNAseq', 'BAX+RNAseq', 'FOSL2+RNAseq', 'LGALS1+RNAseq', 'NR1D1+RNAseq', 'PIP5KL1+RNAseq', 'RPLP1+RNAseq', 'SCAF8+RNAseq', 'THOC2+RNAseq', 'TMEM205+RNAseq', 'VPS4A+RNAseq', 'ZNF319+RNAseq']"
1389,"('ZNED4XZ_Crossover', 'ZWLGEWL_Prediabetic')","['A1BG+RNAseq', 'ADH5+RNAseq', 'ALX3+RNAseq', 'CDC20+RNAseq', 'CNTROB+RNAseq', 'DEDD+RNAseq', 'DGUOK+RNAseq', 'DUT+RNAseq', 'GPHN+RNAseq', 'HAR1B+RNAseq', 'IPMK+RNAseq', 'LINC00667+RNAseq', 'LOC100130298+RNAseq', 'LOC100507540+RNAseq', 'LYVE1+RNAseq', 'MAGIX+RNAseq', '7-Mar+RNAseq', 'MIEF2+RNAseq', 'PNMAL2+RNAseq', 'POLR1C+RNAseq', 'SAV1+RNAseq', 'SF3B4+RNAseq', 'VSIG4+RNAseq', 'ZNF2+RNAseq', 'ZNHIT3+RNAseq']"
1390,"('ZNED4XZ_Crossover', 'ZX52KVK_Prediabetic')","['GLOB+clinical', 'MCP1+cytokine', 'phylum_Actinobacteria+nares', 'class_Actinobacteria+nares', 'order_Actinomycetales+nares', 'family_Corynebacteriaceae+nares', 'genus_Corynebacterium+nares', 'AKIRIN1+RNAseq', 'AMZ2P1+RNAseq', 'ANKRD44+RNAseq', 'ARID3A+RNAseq', 'BRAP+RNAseq', 'CNRIP1+RNAseq', 'CTDNEP1+RNAseq', 'DYNLL2+RNAseq', 'EPB41L4A-AS1+RNAseq', 'FAM201A+RNAseq', 'FRAT1+RNAseq', 'GPATCH3+RNAseq', 'GSR+RNAseq', 'NDUFB9+RNAseq', 'OLIG1+RNAseq', 'PPM1B+RNAseq', 'PRDM11+RNAseq', 'PROB1+RNAseq', 'SCARF1+RNAseq', 'SCIMP+RNAseq', 'SYNM+RNAseq', 'TAF3+RNAseq', 'TRIM44+RNAseq', 'VDAC3+RNAseq', 'ZNF101+RNAseq']"
1391,"('ZNED4XZ_Crossover', 'ZXHCGKV_Prediabetic')","['class_Bacteroidia+nares', 'order_Bacteroidales+nares', 'family_Corynebacteriaceae+nares', 'genus_Corynebacterium+nares', 'ACOT8+RNAseq', 'ARGLU1+RNAseq', 'CBR3+RNAseq', 'OMG+RNAseq', 'SFRP4+RNAseq']"
